LAB_L,LAB_A,LAB_B,SPECTRAL_NM380,SPECTRAL_NM390,SPECTRAL_NM400,SPECTRAL_NM410,SPECTRAL_NM420,SPECTRAL_NM430,SPECTRAL_NM440,SPECTRAL_NM450,SPECTRAL_NM460,SPECTRAL_NM470,SPECTRAL_NM480,SPECTRAL_NM490,SPECTRAL_NM500,SPECTRAL_NM510,SPECTRAL_NM520,SPECTRAL_NM530,SPECTRAL_NM540,SPECTRAL_NM550,SPECTRAL_NM560,SPECTRAL_NM570,SPECTRAL_NM580,SPECTRAL_NM590,SPECTRAL_NM600,SPECTRAL_NM610,SPECTRAL_NM620,SPECTRAL_NM630,SPECTRAL_NM640,SPECTRAL_NM650,SPECTRAL_NM660,SPECTRAL_NM670,SPECTRAL_NM680,SPECTRAL_NM690,SPECTRAL_NM700,SPECTRAL_NM710,SPECTRAL_NM720,SPECTRAL_NM730
14.79,9.65,-12.51,0.0351,0.0374,0.041,0.0444,0.0452,0.0437,0.0408,0.0374,0.0341,0.0307,0.0272,0.0237,0.0209,0.0185,0.0169,0.0158,0.0152,0.015,0.0156,0.0174,0.0198,0.0217,0.0222,0.0221,0.0217,0.0212,0.0207,0.0202,0.0195,0.0186,0.0182,0.0182,0.0183,0.0183,0.0183,0.0181
47.83,50.36,-18.79,0.1213,0.1481,0.2106,0.2867,0.3506,0.3627,0.3351,0.2969,0.2569,0.2159,0.1767,0.1419,0.1159,0.097,0.0847,0.0776,0.0742,0.0744,0.0816,0.1068,0.1631,0.2506,0.3419,0.4075,0.4404,0.4497,0.4479,0.4411,0.4324,0.4229,0.4136,0.4037,0.3941,0.3841,0.3726,0.3618
16.65,-8.71,13.7,0.0205,0.0189,0.0149,0.0121,0.0096,0.0079,0.0073,0.0071,0.0075,0.009,0.0122,0.0179,0.0233,0.0259,0.0264,0.0258,0.025,0.0241,0.0231,0.0224,0.0216,0.0209,0.0201,0.0194,0.0188,0.0183,0.0179,0.0173,0.0167,0.016,0.0156,0.0156,0.0156,0.0157,0.0154,0.0154
75.4,-17.21,80.37,0.0787,0.0791,0.0677,0.0567,0.0443,0.036,0.0314,0.0304,0.0323,0.0397,0.0604,0.1156,0.2232,0.3712,0.4948,0.5546,0.5703,0.5668,0.5576,0.5505,0.5405,0.5301,0.518,0.5047,0.491,0.4774,0.4653,0.4538,0.4426,0.4315,0.4211,0.4104,0.4,0.3895,0.378,0.367
28.16,-0.23,-12.79,0.0718,0.0797,0.0908,0.1002,0.1033,0.1009,0.0957,0.0901,0.0853,0.0812,0.0771,0.0732,0.0698,0.0665,0.0636,0.0608,0.0581,0.0556,0.0531,0.0511,0.0489,0.0469,0.0449,0.043,0.0414,0.04,0.0387,0.0373,0.0357,0.0339,0.0328,0.0325,0.0321,0.0318,0.0313,0.031
25.72,-21.42,5.43,0.0511,0.0537,0.0513,0.0464,0.0392,0.0332,0.0292,0.0279,0.0292,0.0344,0.0464,0.067,0.0824,0.0827,0.0745,0.0651,0.0563,0.048,0.0406,0.0356,0.0323,0.0293,0.0264,0.024,0.0228,0.0221,0.0218,0.0222,0.0228,0.0226,0.0213,0.0198,0.0185,0.0185,0.0206,0.0258
19.26,4.72,-24.35,0.0457,0.0523,0.0655,0.0773,0.085,0.089,0.0892,0.0845,0.078,0.0707,0.0628,0.0548,0.0478,0.0417,0.0367,0.0327,0.0292,0.026,0.0231,0.0211,0.0197,0.0184,0.017,0.0159,0.0152,0.0148,0.0146,0.0147,0.0148,0.0144,0.0138,0.0132,0.0128,0.013,0.0146,0.0175
32.92,12.48,-45.43,0.0848,0.1042,0.151,0.2053,0.2589,0.2998,0.3269,0.3179,0.2905,0.2541,0.2145,0.1764,0.1459,0.1218,0.1033,0.0889,0.0767,0.0655,0.0554,0.0485,0.0437,0.0396,0.0354,0.0321,0.0304,0.0294,0.0289,0.0295,0.0303,0.0299,0.0282,0.0261,0.0241,0.0235,0.0256,0.0314
22.05,-21.87,6.38,0.036,0.0368,0.0348,0.0317,0.0269,0.0231,0.0209,0.0201,0.0209,0.0243,0.0319,0.0451,0.0569,0.0612,0.0591,0.0536,0.0466,0.0389,0.0315,0.0259,0.0221,0.0197,0.0179,0.0166,0.0159,0.0155,0.0152,0.0153,0.0153,0.015,0.0143,0.0137,0.0132,0.0135,0.015,0.0176
40.28,-52.0,16.99,0.0665,0.0718,0.0721,0.0679,0.0583,0.05,0.0446,0.043,0.0453,0.0545,0.0778,0.1323,0.2106,0.2638,0.2558,0.2113,0.1612,0.1171,0.0825,0.0609,0.0483,0.0408,0.0354,0.0318,0.0299,0.0288,0.0284,0.0289,0.0297,0.0292,0.0275,0.0254,0.0234,0.023,0.025,0.0306
28.75,-6.41,-23.58,0.0668,0.0776,0.0978,0.1166,0.1297,0.1369,0.1389,0.1347,0.1292,0.1236,0.1171,0.1105,0.1039,0.0966,0.0885,0.0791,0.0687,0.0577,0.0467,0.0383,0.0326,0.0288,0.0258,0.0237,0.0225,0.0218,0.0214,0.0215,0.0216,0.0211,0.0201,0.0191,0.0182,0.0182,0.0197,0.0227
24.15,-3.53,3.83,0.0537,0.0557,0.0532,0.0487,0.0414,0.035,0.0307,0.029,0.0296,0.0334,0.0413,0.0519,0.0559,0.052,0.0463,0.0418,0.0385,0.0364,0.036,0.0388,0.0432,0.0452,0.0433,0.0403,0.0385,0.0375,0.0372,0.0382,0.0398,0.0397,0.0376,0.0346,0.0314,0.03,0.0328,0.041
18.46,11.13,-22.58,0.0488,0.0546,0.066,0.0766,0.0829,0.0854,0.0826,0.0758,0.068,0.0598,0.0511,0.0429,0.0362,0.0309,0.0272,0.0248,0.0231,0.022,0.0217,0.0228,0.0244,0.025,0.0241,0.023,0.0221,0.0215,0.0212,0.0212,0.0212,0.0206,0.0197,0.0189,0.0183,0.0181,0.0191,0.0221
30.63,22.78,-40.34,0.091,0.1102,0.1563,0.2092,0.2568,0.2818,0.279,0.2525,0.219,0.1831,0.1478,0.1167,0.0938,0.0772,0.066,0.0589,0.0542,0.0511,0.0503,0.0538,0.0593,0.0616,0.059,0.055,0.0524,0.0509,0.0503,0.0514,0.0531,0.0527,0.0498,0.0459,0.0417,0.0396,0.0422,0.0509
21.12,6.71,8.11,0.0401,0.0395,0.0352,0.0311,0.0266,0.0223,0.0196,0.0185,0.0188,0.0208,0.0248,0.0297,0.0315,0.03,0.0276,0.0258,0.0247,0.0245,0.0259,0.0306,0.0382,0.0452,0.0486,0.0495,0.0492,0.0484,0.0476,0.0466,0.0451,0.0433,0.0424,0.0426,0.0429,0.0431,0.0433,0.0432
43.74,38.79,29.42,0.0768,0.0803,0.0775,0.0715,0.0609,0.0508,0.0442,0.0415,0.0422,0.0471,0.0573,0.071,0.0764,0.072,0.0653,0.0606,0.0582,0.0586,0.0649,0.0873,0.1395,0.2235,0.3115,0.374,0.4047,0.4132,0.4113,0.4049,0.3968,0.3882,0.3799,0.3711,0.3624,0.3536,0.3433,0.3338
27.16,17.89,-19.64,0.0771,0.087,0.1057,0.1227,0.1319,0.1315,0.1231,0.1121,0.1011,0.0897,0.0775,0.0657,0.0561,0.0485,0.0433,0.0399,0.038,0.0375,0.0393,0.0458,0.0558,0.0644,0.0683,0.0687,0.0677,0.0661,0.0645,0.0626,0.0603,0.0576,0.056,0.0557,0.0556,0.0552,0.0548,0.0541
28.21,-16.33,19.24,0.0445,0.0429,0.0354,0.0289,0.0228,0.0188,0.0162,0.0155,0.0164,0.02,0.0291,0.0487,0.0702,0.0785,0.0751,0.0688,0.0627,0.0572,0.0529,0.0517,0.0515,0.0497,0.0457,0.0418,0.0397,0.0385,0.0381,0.0391,0.0407,0.0406,0.0384,0.0353,0.0321,0.0307,0.0331,0.0409
23.16,-21.25,16.79,0.0313,0.0297,0.0241,0.0197,0.0158,0.0129,0.0113,0.0109,0.0116,0.0143,0.0205,0.0335,0.0487,0.0575,0.0588,0.0558,0.0509,0.0449,0.0384,0.033,0.0289,0.0261,0.0237,0.022,0.021,0.0204,0.02,0.0199,0.0199,0.0193,0.0185,0.0178,0.017,0.0169,0.0182,0.0206
45.8,-52.4,36.02,0.0617,0.0616,0.053,0.0444,0.0357,0.0294,0.0255,0.0245,0.0261,0.0321,0.0487,0.0938,0.1788,0.2729,0.3091,0.2826,0.2316,0.1781,0.132,0.101,0.0818,0.07,0.0611,0.0548,0.0514,0.0496,0.0489,0.0498,0.0514,0.0509,0.0481,0.0442,0.0401,0.0381,0.0406,0.0492
23.14,-0.54,17.63,0.0342,0.0318,0.0251,0.0203,0.0163,0.0137,0.0118,0.0114,0.012,0.0143,0.0193,0.0283,0.0361,0.0385,0.0374,0.0357,0.0343,0.0338,0.0348,0.0385,0.0438,0.0477,0.049,0.0487,0.0478,0.0468,0.0459,0.0448,0.0433,0.0416,0.0407,0.0408,0.0411,0.0412,0.0412,0.0412
48.62,30.33,46.61,0.0644,0.0631,0.0529,0.0438,0.0354,0.0287,0.0249,0.0237,0.0247,0.0295,0.0417,0.067,0.0936,0.1041,0.1017,0.097,0.0941,0.0949,0.1041,0.1353,0.2011,0.29,0.3652,0.4076,0.4229,0.4229,0.417,0.4088,0.3998,0.3905,0.3818,0.3726,0.3636,0.3543,0.3439,0.3343
32.14,-13.61,23.91,0.0492,0.0471,0.039,0.0322,0.0262,0.0218,0.0189,0.018,0.0189,0.0226,0.0314,0.0492,0.0695,0.0817,0.0852,0.0841,0.0816,0.0785,0.0753,0.0727,0.07,0.0674,0.0647,0.0622,0.0601,0.0581,0.0564,0.0547,0.0527,0.0503,0.0488,0.0484,0.0482,0.0479,0.0475,0.0471
14.59,3.66,-14.15,0.0316,0.0339,0.0381,0.0417,0.0434,0.0438,0.0425,0.0397,0.0369,0.034,0.0309,0.0278,0.025,0.0226,0.0208,0.0193,0.0182,0.0172,0.0165,0.0162,0.0161,0.0158,0.0151,0.0145,0.0141,0.0137,0.0135,0.0134,0.0132,0.0128,0.0124,0.0122,0.012,0.0122,0.0131,0.014
15.99,-11.19,5.41,0.0252,0.0246,0.022,0.0194,0.0165,0.0146,0.0131,0.0125,0.013,0.0148,0.0184,0.0237,0.0277,0.0289,0.0283,0.0269,0.0251,0.023,0.0207,0.0188,0.0171,0.0159,0.0149,0.0141,0.0137,0.0133,0.0131,0.013,0.0128,0.0124,0.012,0.0117,0.0115,0.0117,0.0125,0.0137
22.76,-2.55,-15.67,0.0541,0.0594,0.0686,0.0759,0.0794,0.0799,0.0771,0.0726,0.0688,0.0653,0.0616,0.0582,0.0552,0.0521,0.049,0.0457,0.0423,0.0384,0.0343,0.0308,0.0279,0.0257,0.0238,0.0223,0.0213,0.0207,0.0202,0.0199,0.0196,0.0189,0.0182,0.0177,0.0172,0.017,0.0176,0.0192
15.53,-1.81,5.66,0.0263,0.0254,0.0222,0.0194,0.0164,0.0142,0.0128,0.0123,0.0126,0.014,0.0167,0.0202,0.022,0.0218,0.0208,0.0199,0.0191,0.0188,0.0189,0.02,0.0213,0.022,0.0219,0.0214,0.0209,0.0204,0.0199,0.0194,0.0187,0.0178,0.0174,0.0174,0.0174,0.0173,0.0172,0.0169
21.2,6.58,-14.03,0.0527,0.0568,0.0638,0.0695,0.072,0.0717,0.0678,0.0626,0.058,0.0536,0.0487,0.0441,0.0399,0.0364,0.0336,0.0316,0.0302,0.0293,0.0293,0.0308,0.0326,0.0335,0.0332,0.0323,0.0313,0.0303,0.0294,0.0284,0.0273,0.026,0.0252,0.025,0.0249,0.0246,0.0243,0.0244
23.16,-8.41,6.62,0.0444,0.0442,0.0407,0.0368,0.0319,0.0278,0.0251,0.0239,0.0244,0.027,0.0321,0.0394,0.0446,0.0461,0.0456,0.0441,0.0424,0.0407,0.0389,0.0375,0.0361,0.0347,0.0333,0.032,0.0309,0.0299,0.029,0.028,0.0269,0.0256,0.0248,0.0246,0.0244,0.0242,0.024,0.0238
38.7,14.63,-42.22,0.1074,0.1313,0.1919,0.264,0.3355,0.3762,0.3843,0.36,0.3264,0.2867,0.243,0.2017,0.169,0.1436,0.1251,0.1118,0.1014,0.0926,0.0855,0.0829,0.082,0.0789,0.0726,0.0666,0.0631,0.0611,0.0603,0.0615,0.0635,0.063,0.0598,0.0554,0.0505,0.0479,0.0504,0.06
49.86,-52.16,25.8,0.0864,0.0932,0.096,0.0914,0.0777,0.0671,0.0595,0.057,0.0598,0.0713,0.1001,0.1663,0.2651,0.3475,0.3621,0.3232,0.2657,0.2072,0.1562,0.1211,0.099,0.0853,0.0747,0.0671,0.0631,0.0608,0.0599,0.0609,0.0628,0.0621,0.0587,0.0541,0.0492,0.0466,0.0492,0.0586
33.7,-6.04,-20.78,0.0846,0.0977,0.1243,0.1476,0.1619,0.1669,0.1644,0.1565,0.1498,0.1437,0.1364,0.1297,0.1233,0.1167,0.1096,0.1015,0.0923,0.082,0.0709,0.0615,0.0542,0.0488,0.0443,0.0409,0.0388,0.0374,0.0365,0.0364,0.0362,0.0351,0.0334,0.0318,0.0302,0.0294,0.0302,0.0331
51.93,29.53,35.16,0.0942,0.1,0.0984,0.0909,0.0779,0.0657,0.0573,0.0542,0.0561,0.0646,0.0825,0.1115,0.1319,0.1333,0.1258,0.119,0.1151,0.1155,0.1255,0.1592,0.2287,0.322,0.4011,0.446,0.4623,0.462,0.4554,0.4462,0.4362,0.4258,0.416,0.4055,0.3953,0.3848,0.3731,0.3625
33.14,11.48,-18.54,0.094,0.1075,0.1332,0.1549,0.1665,0.1663,0.1573,0.1452,0.1345,0.1236,0.1115,0.0996,0.0891,0.0801,0.0734,0.0687,0.0656,0.0642,0.0652,0.0706,0.078,0.0829,0.0836,0.0821,0.0799,0.0776,0.0754,0.073,0.0701,0.0669,0.0648,0.0642,0.0636,0.0628,0.0619,0.0612
